plate,latitude,longitude,datetime,speed,azimuth,odometer,hourmeter,provider,geofences
LTGY86,-35.831922,-71.640214,2025-04-16T22:14:56+00:00,0.0,89,935737,2641.7644444444445,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
SVLV46B,,,,,,,,transportes_san_gabriel,[]
PFBS16,-36.651572,-72.227979,2025-03-20T18:50:20+00:00,0.0,222,932275.5,1444.3430555555556,transportes_san_gabriel,[]
KZPW51,-25.195442,-69.866252,2025-04-16T22:18:40+00:00,86.3,23,1192667.3,2514.946388888889,transportes_san_gabriel,[]
PFBS15,-36.651939,-72.227434,2025-03-20T21:58:17+00:00,0.0,136,997602.4,1711.5527777777777,transportes_san_gabriel,[]
PGKD18,-37.782758,-72.295662,2025-04-16T22:11:54+00:00,0.0,189,958128.3,2506.4375,transportes_san_gabriel,[]
PGKD17,-35.831905,-71.640141,2025-04-16T22:09:25+00:00,0.0,92,961835.0,2233.825,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
TBGH39,-35.838874,-71.648074,2025-04-16T22:18:38+00:00,0.0,101,345087.3,1630.77,transportes_san_gabriel,"[{'name': 'Taller SG', 'category': 'Transportes San Gabriel'}]"
PCLZ41,-35.607221,-71.591511,2025-04-16T22:18:08+00:00,0.0,314,503961.5,2613.7741666666666,transportes_san_gabriel,"[{'name': 'CMPC', 'category': 'Transportes San Gabriel'}]"
RFZY98,-33.328584,-70.724348,2025-04-16T22:14:42+00:00,0.0,166,414313,1948.4205555555557,transportes_san_gabriel,[]
RFZY99,-29.291928,-71.033804,2025-04-16T21:57:58+00:00,87.1,170,547093.7,2154.2294444444447,transportes_san_gabriel,[]
PZDJ58,-36.311053,-71.832413,2025-04-16T22:18:36+00:00,81.9,200,413367.1,1423.1625,transportes_san_gabriel,[]
SVLV53,-37.13779,-72.387282,2025-04-16T22:18:31+00:00,89.7,5,173333.2,164908.4922222222,transportes_san_gabriel,[]
TRZC66,-34.210445,-70.76988,2025-04-16T22:16:55+00:00,0.0,298,19847.4,645.2338888888889,transportes_san_gabriel,[]
PCLZ40,-33.591198,-71.583761,2025-04-16T22:11:50+00:00,0.0,321,538860.8,2806.9130555555557,transportes_san_gabriel,"[{'name': 'D&C ', 'category': 'Transportes San Gabriel'}]"
PZDJ63,-35.83179,-71.641608,2025-04-16T17:37:12+00:00,0.0,183,4208808.4,144.31,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
SVLV55,-38.136181,-72.31993,2025-04-16T22:18:38+00:00,90.1,316,278525.2,363.0130555555556,transportes_san_gabriel,[]
SPVR14,-39.4955,-72.808109,2025-04-16T21:58:28+00:00,86.1,166,45384.5,7698.968333333333,transportes_san_gabriel,[]
SVLV55E,,,,,,,,transportes_san_gabriel,[]
SVLV46,-36.438335,-71.959545,2025-04-16T22:18:34+00:00,89.6,55,37493.7,1765.2611111111112,transportes_san_gabriel,[]
PJKT53,-38.237695,-72.349525,2025-04-16T22:18:41+00:00,39.1,272,500486.5,2822.6058333333335,transportes_san_gabriel,[]
PCLZ43,-35.831182,-71.64114,2025-04-16T22:12:33+00:00,0.0,29,506613.7,2715.4011111111113,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PZDJ87,-35.831393,-71.640999,2025-04-16T22:11:32+00:00,0.0,94,485199.9,2624.9538888888887,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PZDJ56,-39.285526,-71.951009,2025-04-16T22:09:02+00:00,0.0,276,118171.4,2207.6566666666668,transportes_san_gabriel,[]
PZDJ57,-35.830224,-71.64159,2025-04-16T22:15:16+00:00,0.0,187,506861.4,2353.255,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PZDJ85,-33.337183,-70.715659,2025-04-16T22:13:00+00:00,0.1,4,448157.8,2039.7972222222222,transportes_san_gabriel,"[{'name': 'Planta ABI', 'category': 'Transportes San Gabriel'}]"
PJKT44,-35.831872,-71.641784,2025-04-16T22:14:05+00:00,0.0,185,392230.3,1184.4619444444445,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PJKT50,-35.838768,-71.647897,2025-04-09T22:56:40+00:00,0.0,203,481343.0,2388.9055555555556,transportes_san_gabriel,"[{'name': 'Taller SG', 'category': 'Transportes San Gabriel'}]"
PJKT54,-35.831361,-71.640948,2025-04-16T22:16:21+00:00,0.0,100,501005.3,2748.595,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PJKT52,-33.335417,-70.696741,2025-04-16T22:18:34+00:00,2.5,156,115317.5,2057.5691666666667,transportes_san_gabriel,[]
PZDJ61,-34.218707,-71.403672,2025-04-16T22:18:34+00:00,61.8,353,470319.2,2385.2463888888888,transportes_san_gabriel,"[{'name': 'Ruta de la Fruta ', 'category': ''}]"
PJKT42,-35.043011,-71.266875,2025-04-16T22:18:40+00:00,80.8,239,423002.8,1958.6555555555556,transportes_san_gabriel,[]
PZDJ83,-38.735094,-72.642402,2025-04-16T22:12:37+00:00,0.0,343,465012.1,2369.9016666666666,transportes_san_gabriel,[]
PZDJ67,-33.60069,-70.60571,2025-04-16T22:18:32+00:00,66.0,340,545459.3,2739.3905555555557,transportes_san_gabriel,[]
PZDJ86,-35.691302,-71.686408,2025-04-16T22:18:36+00:00,83.3,349,498475.2,2616.1675,transportes_san_gabriel,[]
PZDJ84,-35.839003,-71.648016,2025-04-16T22:16:35+00:00,0.0,144,490927.3,2111.6625,transportes_san_gabriel,"[{'name': 'Taller SG', 'category': 'Transportes San Gabriel'}]"
PZDJ89,-33.589778,-71.585503,2025-04-16T22:18:26+00:00,0.0,328,440369.9,2175.0427777777777,transportes_san_gabriel,"[{'name': 'D&C ', 'category': 'Transportes San Gabriel'}]"
PZDJ68,-36.645724,-72.216893,2025-04-16T22:18:42+00:00,87.1,49,621558.0,3017.4377777777777,transportes_san_gabriel,"[{'name': 'Itata ruta ', 'category': ''}]"
PCLZ36,-33.388069,-70.763119,2025-04-16T22:16:01+00:00,0.0,113,392845.2,1005.3666666666667,transportes_san_gabriel,[]
PZDJ60,,,,,,,,transportes_san_gabriel,[]
PJKT43,-34.219618,-71.403422,2025-04-16T22:18:38+00:00,62.7,343,502684.3,2128.4625,transportes_san_gabriel,"[{'name': 'Ruta de la Fruta ', 'category': ''}]"
PZDJ69,-35.831741,-71.641737,2025-04-16T22:10:02+00:00,0.0,178,561735.3,3275.5597222222223,transportes_san_gabriel,"[{'name': 'Planta San Gabriel', 'category': 'Transportes San Gabriel'}]"
PJKT51,-33.728637,-70.73154,2025-04-16T22:18:42+00:00,75.2,204,446497.5,2174.2561111111113,transportes_san_gabriel,[]
SVLV56,-34.828475,-71.082994,2025-04-16T22:18:36+00:00,73.5,247,278608.3,1011.235,transportes_san_gabriel,[]
